name,artist,genre_id,genre,id,prediction,confidence
Everything Matters But No One Is Listening,Quiet Slang,2,indie,107305,2,0.9181
From A Room: Volume 2,Chris Stapleton,0,country,95824,1,0.6510
11 Short Stories of Pain & Glory,Dropkick Murphys,5,rock,64893,5,0.4029
Expektoration Live,MF Doom,4,rap,37239,1,0.5715
700 Fill,Ratking,4,rap,28887,4,0.4579
Wild Go,Dark Dark Dark,1,folk,27023,1,0.3365
We Are Undone,Two Gallants,2,indie,23766,2,0.0828
Own the Night,Lady Antebellum,0,country,12849,0,0.4821
I Want to See Pulaski at Night,Andrew Bird,1,folk,11100,2,0.6292
Famous First Words,Viva Brother,3,pop,2788,2,0.9802
Thank You for Your Love,Antony and the Johnsons,3,pop,1898,3,0.7008
Revival,John Fogerty,5,rock,1421,0,0.5906
