album_id,genre,remove,predicted_genre,prediction_certainty,correct_certainty
58529.jpg,country,m,electronic,0.16973786,0.14742485
58530.jpg,country,m,rock,0.40509632,0.011066929
59143.jpg,country,,metal,0.35391483,0.10570749
5963.jpg,country,,pop,0.20045973,0.08044807
6113.jpg,country,,electronic,0.20869257,0.09142641
6196.jpg,country,,rock,0.28742352,0.01086847
61969.jpg,country,,electronic,0.21001925,0.10999257
63692.jpg,country,,folk,0.17098819,0.14070311
63721.jpg,country,,rap,0.3274535,0.11288414
6431.jpg,country,,electronic,0.19661686,0.16746488
65319.jpg,country,,indie,0.15199417,0.14816718
65625.jpg,country,,country,0.15745047,0.15745047
65912.jpg,country,,electronic,0.18805422,0.09903892
66952.jpg,country,,indie,0.22535509,0.077682726
67424.jpg,country,,electronic,0.33149734,0.13256815
69529.jpg,country,,country,0.15859845,0.15859845
697.jpg,country,x,indie,0.1991265,0.06951591
6998.jpg,country,m,pop,0.24596497,0.05773448
70004.jpg,country,,metal,0.42491743,0.038558666
70006.jpg,country,,country,0.17367145,0.17367145
7071.jpg,country,,folk,0.19920532,0.10980505
71161.jpg,country,m,rap,0.8048554,0.03705852
71604.jpg,country,m,country,0.20801188,0.20801188
7301.jpg,country,,rap,0.31828955,0.1151416
735.jpg,country,,pop,0.17228433,0.12198998
73639.jpg,country,,metal,0.4944563,0.10318273
74934.jpg,country,,country,0.2224052,0.2224052
76263.jpg,country,,electronic,0.1539734,0.14809664
76474.jpg,country,,country,0.15312298,0.15312298
7715.jpg,country,,electronic,0.18642588,0.13076746
77773.jpg,country,,indie,0.16745332,0.12889488
78141.jpg,country,,indie,0.27636215,0.04003059
7907.jpg,country,,pop,0.30949512,0.01547068
7930.jpg,country,,pop,0.24629487,0.106450476
81574.jpg,country,,country,0.17326744,0.17326744
81779.jpg,country,,country,0.17410569,0.17410569
8240.jpg,country,,country,0.21853964,0.21853964
837.jpg,country,,indie,0.17307171,0.07949765
865.jpg,country,,indie,0.30362642,0.039115634
86749.jpg,country,,electronic,0.26488873,0.07667636
